audio,visual,voice,delay,audio_time,audio_type,audio_valence,audio_arousal,written_type,written_valence,written_arousal,
Control,Damn,na,1400,600,N/A,N/A,N/A,Swear,Negative,Low,
Control,Morbid,na,400,600,N/A,N/A,N/A,Neutral,Negative,Low,
Control,Twat,na,1400,600,N/A,N/A,N/A,Swear,N/A,N/A,
Intercourse,Hell,m,400,751,Neutral,Positive,High,Swear,Negative,Low,
Boobs,Control,m,400,574,Swear,Positive,High,N/A,N/A,N/A,
Tits,Control,f,800,536,Swear,Positive,High,N/A,N/A,N/A,
Sad,Control,f,1600,548,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Unhappy,na,800,600,N/A,N/A,N/A,Neutral,Negative,Low,
Control,Wise,na,1400,600,N/A,N/A,N/A,Neutral,Positive,Low,
Control,Morbid,na,1400,600,N/A,N/A,N/A,Neutral,Negative,Low,
Balls,Bitch,m,1200,538,Swear,Positive,Low,Swear,Negative,High,
Sad,Control,m,1200,485,Neutral,Negative,Low,N/A,N/A,N/A,
Tits,Screw,m,1000,480,Swear,Positive,High,Swear,Positive,Low,
Penis,Failure,m,400,553,Swear,Positive,High,Neutral,Negative,Low,
Control,Friendly,na,1200,600,N/A,N/A,N/A,Neutral,Positive,Low,
Hopeful,Control,f,400,524,Neutral,Positive,Low,N/A,N/A,N/A,
Cum,Control,f,400,423,Swear,Positive,High,N/A,N/A,N/A,
Boobs,Slut,f,1200,561,Swear,Positive,High,Swear,Negative,High,
Control,Cum,na,1000,600,N/A,N/A,N/A,Swear,Positive,High,
Control,Sad,na,600,600,N/A,N/A,N/A,Neutral,Negative,Low,
Control,Slut,na,1600,600,N/A,N/A,N/A,Swear,Negative,High,
Control,Massacre,na,800,600,N/A,N/A,N/A,Neutral,Negative,High,
Moron,Control,f,1000,500,Swear,Negative,Low,N/A,N/A,N/A,
Motherfucker,Control,m,800,750,Swear,N/A,N/A,N/A,N/A,N/A,
Bitch,Control,f,1400,400,Swear,Negative,High,N/A,N/A,N/A,
Intercourse,Control,m,800,751,Neutral,Positive,High,N/A,N/A,N/A,
Screw,Boner,f,1600,534,Swear,Positive,Low,Swear,Positive,High,
Idiot,Jism,m,1200,451,Swear,Negative,Low,Swear,Positive,Low,
Bitch,Paradise,f,400,400,Swear,Negative,High,Neutral,Positive,High,
Control,Massacre,na,1200,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Loved,na,800,600,N/A,N/A,N/A,Neutral,Positive,High,
Friendly,Control,f,800,700,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Heaven,na,600,600,N/A,N/A,N/A,Neutral,Positive,High,
Grateful,Control,m,1200,633,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Wise,na,1600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Jism,Control,m,1600,500,Swear,Positive,Low,N/A,N/A,N/A,
Control,Screw,na,600,600,N/A,N/A,N/A,Swear,Positive,Low,
Control,Tits,na,600,600,N/A,N/A,N/A,Swear,Positive,High,
Control,Boner,na,1600,600,N/A,N/A,N/A,Swear,Positive,High,
Fat,Shit,m,800,444,Neutral,N/A,N/A,Swear,N/A,N/A,
Hell,Control,m,800,419,Swear,Negative,Low,N/A,N/A,N/A,
Friendly,Tits,m,400,529,Neutral,Positive,Low,Swear,Positive,High,
Crap,Control,f,1400,360,Swear,Negative,Low,N/A,N/A,N/A,
Grateful,Control,m,1000,633,Neutral,Positive,Low,N/A,N/A,N/A,
Morbid,Control,f,600,547,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Penis,na,800,600,N/A,N/A,N/A,Swear,Positive,High,
Gun,Control,m,1200,420,Neutral,Negative,High,N/A,N/A,N/A,
Moron,Loved,m,1600,600,Swear,Negative,Low,Neutral,Positive,High,
Paradise,Control,f,1600,770,Neutral,Positive,High,N/A,N/A,N/A,
Control,Paradise,na,1000,600,N/A,N/A,N/A,Neutral,Positive,High,
Boobs,Control,m,600,574,Swear,Positive,High,N/A,N/A,N/A,
Failure,Control,m,1200,620,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Loved,na,400,600,N/A,N/A,N/A,Neutral,Positive,High,
Hurricane,Control,m,1600,726,Neutral,N/A,N/A,N/A,N/A,N/A,
Control,Motherfucker,na,400,600,N/A,N/A,N/A,Swear,N/A,N/A,
Control,Assault,na,1600,600,N/A,N/A,N/A,Neutral,N/A,N/A,
Riot,Erotic,f,1400,549,Neutral,Negative,High,Neutral,Positive,High,
Pee,Fuck,m,1000,682,Swear,Positive,Low,Swear,Negative,High,
Jism,Control,m,600,500,Swear,Positive,Low,N/A,N/A,N/A,
Betray,Control,m,1200,668,Neutral,N/A,N/A,N/A,N/A,N/A,
Morbid,Control,f,1400,547,Neutral,Negative,Low,N/A,N/A,N/A,
Cock,Friendly,f,400,400,Swear,Negative,High,Neutral,Positive,Low,
Heaven,Riot,f,1600,467,Neutral,Positive,High,Neutral,Negative,High,
Unhappy,Control,m,800,635,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Bitch,na,800,600,N/A,N/A,N/A,Swear,Negative,High,
Jism,Control,f,400,477,Swear,Positive,Low,N/A,N/A,N/A,
Hell,Screw,m,1000,419,Swear,Negative,Low,Swear,Positive,Low,
Control,Boner,na,1000,600,N/A,N/A,N/A,Swear,Positive,High,
Boner,Friendly,m,600,470,Swear,Positive,High,Neutral,Positive,Low,
Intercourse,Control,m,1400,751,Neutral,Positive,High,N/A,N/A,N/A,
Moron,Intercourse,f,1000,500,Swear,Negative,Low,Neutral,Positive,High,
Snatch,Sad,f,1600,571,Swear,Positive,Low,Neutral,Negative,Low,
Control,Hopeful,na,1400,600,N/A,N/A,N/A,Neutral,Positive,Low,
Slut,Tits,f,1400,474,Swear,Negative,High,Swear,Positive,High,
Cock,Control,f,800,400,Swear,Negative,High,N/A,N/A,N/A,
Control,Crap,na,800,600,N/A,N/A,N/A,Swear,Negative,Low,
Tits,Snatch,m,600,480,Swear,Positive,High,Swear,Positive,Low,
Failure,Tits,f,1200,545,Neutral,Negative,Low,Swear,Positive,High,
Cock,Control,f,1200,400,Swear,Negative,High,N/A,N/A,N/A,
Damn,Boner,m,800,432,Swear,Negative,Low,Swear,Positive,High,
Hopeful,Fuck,m,1000,718,Neutral,Positive,Low,Swear,Negative,High,
Unhappy,Control,m,1000,635,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Slut,na,600,600,N/A,N/A,N/A,Swear,Negative,High,
Control,Moron,na,1200,600,N/A,N/A,N/A,Swear,Negative,Low,
Slut,Control,f,400,474,Swear,Negative,High,N/A,N/A,N/A,
Intercourse,Wise,f,800,645,Neutral,Positive,High,Neutral,Positive,Low,
Hell,Heaven,f,800,506,Swear,Negative,Low,Neutral,Positive,High,
Crap,Paradise,f,1600,360,Swear,Negative,Low,Neutral,Positive,High,
Hell,Control,f,400,506,Swear,Negative,Low,N/A,N/A,N/A,
Control,Penis,na,1400,600,N/A,N/A,N/A,Swear,Positive,High,
Cock,Sad,f,1400,400,Swear,Negative,High,Neutral,Negative,Low,
Friendly,Boner,m,800,529,Neutral,Positive,Low,Swear,Positive,High,
Morbid,Damn,f,1600,547,Neutral,Negative,Low,Swear,Negative,Low,
Control,Riot,na,400,600,N/A,N/A,N/A,Neutral,Negative,High,
Bitch,Control,m,1200,490,Swear,Negative,High,N/A,N/A,N/A,
Paradise,Pee,m,1200,661,Neutral,Positive,High,Swear,Positive,Low,
Control,Crap,na,600,600,N/A,N/A,N/A,Swear,Negative,Low,
Loved,Control,f,1000,486,Neutral,Positive,High,N/A,N/A,N/A,
Erotic,Control,m,1200,562,Neutral,Positive,High,N/A,N/A,N/A,
Control,Grateful,na,1200,600,N/A,N/A,N/A,Neutral,Positive,Low,
Morbid,Idiot,m,1000,550,Neutral,Negative,Low,Swear,Negative,Low,
Buttfuck,Morbid,f,600,601,Swear,Negative,High,Neutral,Negative,Low,
Lonely,Penis,f,1000,500,Neutral,Negative,Low,Swear,Positive,High,
Control,Massacre,na,1400,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Murderer,na,1600,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Damn,na,600,600,N/A,N/A,N/A,Swear,Negative,Low,
Control,Jism,na,1600,600,N/A,N/A,N/A,Swear,Positive,Low,
Torture,Control,f,400,548,Neutral,Negative,High,N/A,N/A,N/A,
Control,Bitch,na,1400,600,N/A,N/A,N/A,Swear,Negative,High,
Boner,Control,m,600,470,Swear,Positive,High,N/A,N/A,N/A,
Wise,Penis,f,400,706,Neutral,Positive,Low,Swear,Positive,High,
Control,Heaven,na,800,600,N/A,N/A,N/A,Neutral,Positive,High,
Balls,Control,f,800,400,Swear,Positive,Low,N/A,N/A,N/A,
Failure,Hopeful,f,800,545,Neutral,Negative,Low,Neutral,Positive,Low,
Loved,Buttfuck,f,1000,486,Neutral,Positive,High,Swear,Negative,High,
Boobs,Grateful,m,600,574,Swear,Positive,High,Neutral,Positive,Low,
Grateful,Heaven,m,600,633,Neutral,Positive,Low,Neutral,Positive,High,
Massacre,Control,m,400,700,Neutral,Negative,High,N/A,N/A,N/A,
Massacre,Hell,f,600,604,Neutral,Negative,High,Swear,Negative,Low,
Control,Riot,na,1400,600,N/A,N/A,N/A,Neutral,Negative,High,
Grateful,Control,m,1600,633,Neutral,Positive,Low,N/A,N/A,N/A,
Snatch,Penis,m,800,538,Swear,Positive,Low,Swear,Positive,High,
Sad,Intercourse,m,1600,485,Neutral,Negative,Low,Neutral,Positive,High,
Paradise,Admired,f,800,770,Neutral,Positive,High,Neutral,Positive,Low,
Control,Damn,na,400,600,N/A,N/A,N/A,Swear,Negative,Low,
Cock,Control,f,1600,400,Swear,Negative,High,N/A,N/A,N/A,
Slut,Torture,m,400,500,Swear,Negative,High,Neutral,Negative,High,
Riot,Tits,m,1000,586,Neutral,Negative,High,Swear,Positive,High,
Snatch,Control,m,1200,538,Swear,Positive,Low,N/A,N/A,N/A,
Heaven,Gun,m,1000,480,Neutral,Positive,High,Neutral,Negative,High,
Jism,Control,m,1400,500,Swear,Positive,Low,N/A,N/A,N/A,
Jism,Grateful,m,1200,500,Swear,Positive,Low,Neutral,Positive,Low,
Snatch,Control,f,1600,571,Swear,Positive,Low,N/A,N/A,N/A,
Heaven,Control,m,800,480,Neutral,Positive,High,N/A,N/A,N/A,
Unhappy,Paradise,m,400,635,Neutral,Negative,Low,Neutral,Positive,High,
Balls,Control,m,1200,538,Swear,Positive,Low,N/A,N/A,N/A,
Idiot,Unhappy,f,1400,477,Swear,Negative,Low,Neutral,Negative,Low,
Boner,Control,f,1200,429,Swear,Positive,High,N/A,N/A,N/A,
Admired,Intercourse,f,1400,723,Neutral,Positive,Low,Neutral,Positive,High,
Control,Pee,na,800,600,N/A,N/A,N/A,Swear,Positive,Low,
Screw,Lonely,f,400,534,Swear,Positive,Low,Neutral,Negative,Low,
Control,Riot,na,1000,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Balls,na,600,600,N/A,N/A,N/A,Swear,Positive,Low,
Control,Morbid,na,1600,600,N/A,N/A,N/A,Neutral,Negative,Low,
Failure,Control,m,600,620,Neutral,Negative,Low,N/A,N/A,N/A,
Wise,Control,f,1400,706,Neutral,Positive,Low,N/A,N/A,N/A,
Snatch,Cock,f,1200,571,Swear,Positive,Low,Swear,Negative,High,
Intercourse,Hopeful,m,1000,751,Neutral,Positive,High,Neutral,Positive,Low,
Sad,Heaven,m,1200,485,Neutral,Negative,Low,Neutral,Positive,High,
Buttfuck,Control,m,1600,847,Swear,Negative,High,N/A,N/A,N/A,
Riot,Control,m,400,586,Neutral,Negative,High,N/A,N/A,N/A,
Torture,Bitch,f,1000,548,Neutral,Negative,High,Swear,Negative,High,
Boobs,Control,f,1600,561,Swear,Positive,High,N/A,N/A,N/A,
Control,Torture,na,600,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Grateful,na,1000,600,N/A,N/A,N/A,Neutral,Positive,Low,
Cock,Murderer,m,800,434,Swear,Negative,High,Neutral,Negative,High,
Unhappy,Cum,f,1400,515,Neutral,Negative,Low,Swear,Positive,High,
Control,Hopeful,na,800,600,N/A,N/A,N/A,Neutral,Positive,Low,
Murderer,Boner,f,1200,554,Neutral,Negative,High,Swear,Positive,High,
Control,Tits,na,800,600,N/A,N/A,N/A,Swear,Positive,High,
Crap,Control,m,400,461,Swear,Negative,Low,N/A,N/A,N/A,
Control,Buttfuck,na,600,600,N/A,N/A,N/A,Swear,Negative,High,
Moron,Massacre,m,600,600,Swear,Negative,Low,Neutral,Negative,High,
Control,Gun,na,600,600,N/A,N/A,N/A,Neutral,Negative,High,
Screw,Control,f,1400,534,Swear,Positive,Low,N/A,N/A,N/A,
Buttfuck,Control,f,1200,601,Swear,Negative,High,N/A,N/A,N/A,
Control,Torture,na,1000,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Admired,na,1000,600,N/A,N/A,N/A,Neutral,Positive,Low,
Pee,Control,m,400,682,Swear,Positive,Low,N/A,N/A,N/A,
Control,Cock,na,1200,600,N/A,N/A,N/A,Swear,Negative,High,
Torture,Pee,m,400,400,Neutral,Negative,High,Swear,Positive,Low,
Control,Heaven,na,1200,600,N/A,N/A,N/A,Neutral,Positive,High,
Control,Erotic,na,1000,600,N/A,N/A,N/A,Neutral,Positive,High,
Control,Cum,na,600,600,N/A,N/A,N/A,Swear,Positive,High,
Riot,Control,f,1400,549,Neutral,Negative,High,N/A,N/A,N/A,
Heaven,Control,f,400,467,Neutral,Positive,High,N/A,N/A,N/A,
Control,Wise,na,1000,600,N/A,N/A,N/A,Neutral,Positive,Low,
Slut,Control,m,800,500,Swear,Negative,High,N/A,N/A,N/A,
Penis,Idiot,f,1400,572,Swear,Positive,High,Swear,Negative,Low,
Morbid,Control,f,1000,547,Neutral,Negative,Low,N/A,N/A,N/A,
Dickhead,Crash,f,1000,542,Swear,N/A,N/A,Neutral,N/A,N/A,
Idiot,Control,f,1200,477,Swear,Negative,Low,N/A,N/A,N/A,
Control,Murderer,na,400,600,N/A,N/A,N/A,Neutral,Negative,High,
Cum,Cock,m,400,532,Swear,Positive,High,Swear,Negative,High,
Control,Erotic,na,600,600,N/A,N/A,N/A,Neutral,Positive,High,
Buttfuck,Control,m,600,847,Swear,Negative,High,N/A,N/A,N/A,
Massacre,Control,m,1600,700,Neutral,Negative,High,N/A,N/A,N/A,
Hopeful,Control,m,1400,718,Neutral,Positive,Low,N/A,N/A,N/A,
Failure,Cum,f,400,545,Neutral,Negative,Low,Swear,Positive,High,
Wise,Control,f,800,706,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Sad,na,1200,600,N/A,N/A,N/A,Neutral,Negative,Low,
Loved,Control,f,1400,486,Neutral,Positive,High,N/A,N/A,N/A,
Control,Lonely,na,800,600,N/A,N/A,N/A,Neutral,Negative,Low,
Idiot,Control,f,800,477,Swear,Negative,Low,N/A,N/A,N/A,
Lonely,Control,f,1200,500,Neutral,Negative,Low,N/A,N/A,N/A,
Damn,Murderer,f,600,484,Swear,Negative,Low,Neutral,Negative,High,
Cocksucker,Horror,m,600,767,Swear,N/A,N/A,Neutral,N/A,N/A,
Control,Boobs,na,1000,600,N/A,N/A,N/A,Swear,Positive,High,
Jism,Hopeful,f,600,477,Swear,Positive,Low,Neutral,Positive,Low,
Control,Hopeful,na,1200,600,N/A,N/A,N/A,Neutral,Positive,Low,
Control,Erotic,na,1200,600,N/A,N/A,N/A,Neutral,Positive,High,
Control,Idiot,na,1200,600,N/A,N/A,N/A,Swear,Negative,Low,
Control,Slut,na,1000,600,N/A,N/A,N/A,Swear,Negative,High,
Penis,Buttfuck,f,1200,572,Swear,Positive,High,Swear,Negative,High,
Wise,Cum,m,1400,654,Neutral,Positive,Low,Swear,Positive,High,
Wise,Slut,f,800,706,Neutral,Positive,Low,Swear,Negative,High,
Control,Screw,na,1200,600,N/A,N/A,N/A,Swear,Positive,Low,
Control,Hell,na,1400,600,N/A,N/A,N/A,Swear,Negative,Low,
Gun,Control,f,600,420,Neutral,Negative,High,N/A,N/A,N/A,
Gun,Control,m,1600,420,Neutral,Negative,High,N/A,N/A,N/A,
Massacre,Crap,m,1200,700,Neutral,Negative,High,Swear,Negative,Low,
Balls,Idiot,f,1400,400,Swear,Positive,Low,Swear,Negative,Low,
Moron,Pee,m,1400,600,Swear,Negative,Low,Swear,Positive,Low,
Control,Unhappy,na,1000,600,N/A,N/A,N/A,Neutral,Negative,Low,
Hopeful,Control,f,600,524,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Wise,na,400,600,N/A,N/A,N/A,Neutral,Positive,Low,
Control,Cock,na,800,600,N/A,N/A,N/A,Swear,Negative,High,
Control,Massacre,na,400,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Intercourse,na,1400,600,N/A,N/A,N/A,Neutral,Positive,High,
Morbid,Control,f,1600,547,Neutral,Negative,Low,N/A,N/A,N/A,
Loved,Idiot,f,1600,486,Neutral,Positive,High,Swear,Negative,Low,
Hell,Control,m,1400,419,Swear,Negative,Low,N/A,N/A,N/A,
Admired,Screw,m,1000,718,Neutral,Positive,Low,Swear,Positive,Low,
Pee,Hell,f,400,367,Swear,Positive,Low,Swear,Negative,Low,
Control,Failure,na,1200,600,N/A,N/A,N/A,Neutral,Negative,Low,
Sad,Boobs,m,600,485,Neutral,Negative,Low,Swear,Positive,High,
Unhappy,Control,m,1400,635,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Admired,na,800,600,N/A,N/A,N/A,Neutral,Positive,Low,
Bitch,Balls,f,800,400,Swear,Negative,High,Swear,Positive,Low,
Riot,Control,m,800,586,Neutral,Negative,High,N/A,N/A,N/A,
Gun,Penis,f,800,420,Neutral,Negative,High,Swear,Positive,High,
Control,Fuck,na,1400,600,N/A,N/A,N/A,Swear,Negative,High,
Murderer,Moron,f,800,554,Neutral,Negative,High,Swear,Negative,Low,
Paradise,Control,f,600,770,Neutral,Positive,High,N/A,N/A,N/A,
Control,Jism,na,1200,600,N/A,N/A,N/A,Swear,Positive,Low,
Moron,Control,m,800,600,Swear,Negative,Low,N/A,N/A,N/A,
Hopeful,Gun,f,1200,524,Neutral,Positive,Low,Neutral,Negative,High,
Control,Intercourse,na,1000,600,N/A,N/A,N/A,Neutral,Positive,High,
Erotic,Control,f,600,384,Neutral,Positive,High,N/A,N/A,N/A,
Control,Lonely,na,1400,600,N/A,N/A,N/A,Neutral,Negative,Low,
Cum,Control,f,1200,423,Swear,Positive,High,N/A,N/A,N/A,
Damn,Bitch,f,1600,484,Swear,Negative,Low,Swear,Negative,High,
Loved,Boobs,f,600,486,Neutral,Positive,High,Swear,Positive,High,
Torture,Cock,m,1600,400,Neutral,Negative,High,Swear,Negative,High,
Control,Idiot,na,1600,600,N/A,N/A,N/A,Swear,Negative,Low,
Hopeful,Control,m,1600,718,Neutral,Positive,Low,N/A,N/A,N/A,
Damn,Control,f,1000,484,Swear,Negative,Low,N/A,N/A,N/A,
Control,Morbid,na,600,600,N/A,N/A,N/A,Neutral,Negative,Low,
Control,Whore,na,800,600,N/A,N/A,N/A,Swear,N/A,N/A,
Screw,Cum,f,600,534,Swear,Positive,Low,Swear,Positive,High,
Control,Jism,na,1000,600,N/A,N/A,N/A,Swear,Positive,Low,
Unhappy,Massacre,m,600,635,Neutral,Negative,Low,Neutral,Negative,High,
Control,Fat,na,1200,600,N/A,N/A,N/A,Neutral,N/A,N/A,
Crap,Snatch,f,1000,360,Swear,Negative,Low,Swear,Positive,Low,
Control,Hell,na,400,600,N/A,N/A,N/A,Swear,Negative,Low,
Control,Fuck,na,400,600,N/A,N/A,N/A,Swear,Negative,High,
Screw,Control,f,1000,534,Swear,Positive,Low,N/A,N/A,N/A,
Tits,Lonely,m,400,480,Swear,Positive,High,Neutral,Negative,Low,
Failure,Control,f,800,545,Neutral,Negative,Low,N/A,N/A,N/A,
Sad,Control,m,600,485,Neutral,Negative,Low,N/A,N/A,N/A,
Idiot,Control,m,600,451,Swear,Negative,Low,N/A,N/A,N/A,
Friendly,Hell,f,1200,700,Neutral,Positive,Low,Swear,Negative,Low,
Torture,Control,m,800,400,Neutral,Negative,High,N/A,N/A,N/A,
Control,Loved,na,1400,600,N/A,N/A,N/A,Neutral,Positive,High,
Control,Fuck,na,1000,600,N/A,N/A,N/A,Swear,Negative,High,
Loved,Control,m,400,528,Neutral,Positive,High,N/A,N/A,N/A,
Boobs,Control,f,1000,561,Swear,Positive,High,N/A,N/A,N/A,
Boner,Control,m,1000,470,Swear,Positive,High,N/A,N/A,N/A,
Control,Boobs,na,400,600,N/A,N/A,N/A,Swear,Positive,High,
Intercourse,Control,f,400,645,Neutral,Positive,High,N/A,N/A,N/A,
Cum,Control,m,800,532,Swear,Positive,High,N/A,N/A,N/A,
Erotic,Jism,f,400,384,Neutral,Positive,High,Swear,Positive,Low,
Bitch,Pee,f,1400,400,Swear,Negative,High,Swear,Positive,Low,
Gun,Heaven,m,600,420,Neutral,Negative,High,Neutral,Positive,High,
Gun,Control,f,1000,420,Neutral,Negative,High,N/A,N/A,N/A,
Jism,Control,f,1000,477,Swear,Positive,Low,N/A,N/A,N/A,
Control,Crap,na,1600,600,N/A,N/A,N/A,Swear,Negative,Low,
Massacre,Control,m,600,700,Neutral,Negative,High,N/A,N/A,N/A,
Penis,Control,m,1600,553,Swear,Positive,High,N/A,N/A,N/A,
Snatch,Moron,f,600,571,Swear,Positive,Low,Swear,Negative,Low,
Gun,Screw,m,1200,420,Neutral,Negative,High,Swear,Positive,Low,
Control,Jism,na,600,600,N/A,N/A,N/A,Swear,Positive,Low,
Riot,Grateful,m,800,586,Neutral,Negative,High,Neutral,Positive,Low,
Fuck,Control,m,1400,388,Swear,Negative,High,N/A,N/A,N/A,
Cum,Wise,m,800,532,Swear,Positive,High,Neutral,Positive,Low,
Assault,Control,f,400,521,Neutral,N/A,N/A,N/A,N/A,N/A,
Balls,Control,m,1600,538,Swear,Positive,Low,N/A,N/A,N/A,
Control,Balls,na,1600,600,N/A,N/A,N/A,Swear,Positive,Low,
Control,Sad,na,1600,600,N/A,N/A,N/A,Neutral,Negative,Low,
Control,Hell,na,800,600,N/A,N/A,N/A,Swear,Negative,Low,
Control,Boobs,na,800,600,N/A,N/A,N/A,Swear,Positive,High,
Heaven,Unhappy,m,1400,480,Neutral,Positive,High,Neutral,Negative,Low,
Cum,Admired,f,1400,423,Swear,Positive,High,Neutral,Positive,Low,
Murderer,Control,m,600,649,Neutral,Negative,High,N/A,N/A,N/A,
Wise,Damn,m,1000,654,Neutral,Positive,Low,Swear,Negative,Low,
Tits,Control,f,400,536,Swear,Positive,High,N/A,N/A,N/A,
Screw,Control,m,800,686,Swear,Positive,Low,N/A,N/A,N/A,
Control,Murderer,na,1000,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Sad,na,1000,600,N/A,N/A,N/A,Neutral,Negative,Low,
Control,Buttfuck,na,1000,600,N/A,N/A,N/A,Swear,Negative,High,
Damn,Control,f,1600,484,Swear,Negative,Low,N/A,N/A,N/A,
Control,Murderer,na,600,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Morbid,na,1000,600,N/A,N/A,N/A,Neutral,Negative,Low,
Slut,Wise,m,600,500,Swear,Negative,High,Neutral,Positive,Low,
Admired,Boobs,m,1600,718,Neutral,Positive,Low,Swear,Positive,High,
Fuck,Control,m,400,388,Swear,Negative,High,N/A,N/A,N/A,
Control,Screw,na,800,600,N/A,N/A,N/A,Swear,Positive,Low,
Intercourse,Control,m,1200,751,Neutral,Positive,High,N/A,N/A,N/A,
Pee,Friendly,f,800,367,Swear,Positive,Low,Neutral,Positive,Low,
Hell,Fuck,f,1400,506,Swear,Negative,Low,Swear,Negative,High,
Screw,Erotic,f,1000,534,Swear,Positive,Low,Neutral,Positive,High,
Fuck,Control,f,600,442,Swear,Negative,High,N/A,N/A,N/A,
