audio,visual,voice,delay,audio_time,audio_type,audio_valence,audio_arousal,written_type,written_valence,written_arousal,
Control,Friendly,na,800,600,N/A,N/A,N/A,Neutral,Positive,Low,
Erotic,Control,f,800,384,Neutral,Positive,High,N/A,N/A,N/A,
Control,Boner,na,600,600,N/A,N/A,N/A,Swear,Positive,High,
Control,Torture,na,1600,600,N/A,N/A,N/A,Neutral,Negative,High,
Penis,Control,m,600,553,Swear,Positive,High,N/A,N/A,N/A,
Admired,Control,f,400,723,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Unhappy,na,400,600,N/A,N/A,N/A,Neutral,Negative,Low,
Fuck,Control,m,1600,388,Swear,Negative,High,N/A,N/A,N/A,
Idiot,Control,m,1600,451,Swear,Negative,Low,N/A,N/A,N/A,
Friendly,Control,f,1200,700,Neutral,Positive,Low,N/A,N/A,N/A,
Erotic,Balls,f,800,384,Neutral,Positive,High,Swear,Positive,Low,
Morbid,Admired,f,600,547,Neutral,Negative,Low,Neutral,Positive,Low,
Murderer,Control,f,1600,554,Neutral,Negative,High,N/A,N/A,N/A,
Slut,Admired,f,1600,474,Swear,Negative,High,Neutral,Positive,Low,
Control,Friendly,na,1600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Control,Moron,na,1400,600,N/A,N/A,N/A,Swear,Negative,Low,
Sad,Control,f,1000,548,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Grateful,na,1600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Control,Gun,na,1600,600,N/A,N/A,N/A,Neutral,Negative,High,
Torture,Boobs,m,600,400,Neutral,Negative,High,Swear,Positive,High,
Control,Friendly,na,600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Admired,Snatch,m,600,718,Neutral,Positive,Low,Swear,Positive,Low,
Admired,Control,m,1000,718,Neutral,Positive,Low,N/A,N/A,N/A,
Massacre,Control,f,1400,604,Neutral,Negative,High,N/A,N/A,N/A,
Failure,Control,f,1600,545,Neutral,Negative,Low,N/A,N/A,N/A,
Cock,Unhappy,f,1200,400,Swear,Negative,High,Neutral,Negative,Low,
Cum,Crap,f,1000,423,Swear,Positive,High,Swear,Negative,Low,
Bitch,Control,m,800,490,Swear,Negative,High,N/A,N/A,N/A,
Moron,Control,f,1400,500,Swear,Negative,Low,N/A,N/A,N/A,
Snatch,Control,m,600,538,Swear,Positive,Low,N/A,N/A,N/A,
Tits,Control,f,1000,536,Swear,Positive,High,N/A,N/A,N/A,
Failure,Erotic,m,1400,620,Neutral,Negative,Low,Neutral,Positive,High,
Control,Pee,na,400,600,N/A,N/A,N/A,Swear,Positive,Low,
Friendly,Jism,m,1400,529,Neutral,Positive,Low,Swear,Positive,Low,
Pee,Control,f,1200,367,Swear,Positive,Low,N/A,N/A,N/A,
Paradise,Failure,f,1600,770,Neutral,Positive,High,Neutral,Negative,Low,
Control,Bitch,na,400,600,N/A,N/A,N/A,Swear,Negative,High,
Control,Boobs,na,1400,600,N/A,N/A,N/A,Swear,Positive,High,
Control,Slut,na,400,600,N/A,N/A,N/A,Swear,Negative,High,
Control,Boner,na,1200,600,N/A,N/A,N/A,Swear,Positive,High,
Penis,Control,m,1200,553,Swear,Positive,High,N/A,N/A,N/A,
Crap,Control,m,1600,461,Swear,Negative,Low,N/A,N/A,N/A,
Murderer,Control,m,1200,649,Neutral,Negative,High,N/A,N/A,N/A,
Crap,Control,f,1000,360,Swear,Negative,Low,N/A,N/A,N/A,
Control,Screw,na,1600,600,N/A,N/A,N/A,Swear,Positive,Low,
Buttfuck,Morbid,f,1600,601,Swear,Negative,High,Neutral,Negative,Low,
Cunt,Alcoholic,f,1600,416,Swear,N/A,N/A,Neutral,N/A,N/A,
Sinful,Cocksucker,f,1400,584,Neutral,N/A,N/A,Swear,N/A,N/A,
Control,Idiot,na,1000,600,N/A,N/A,N/A,Swear,Negative,Low,
