audio,visual,voice,delay,audio_time,audio_type,audio_valence,audio_arousal,written_type,written_valence,written_arousal,
Cocksucker,Sinful,f,400,639,Swear,N/A,N/A,Neutral,N/A,N/A,
Hopeful,Cum,m,1200,718,Neutral,Positive,Low,Swear,Positive,High,
Screw,Control,m,400,686,Swear,Positive,Low,N/A,N/A,N/A,
Control,Paradise,na,400,600,N/A,N/A,N/A,Neutral,Positive,High,
Paradise,Morbid,m,1400,661,Neutral,Positive,High,Neutral,Negative,Low,
Moron,Tits,m,1400,600,Swear,Negative,Low,Swear,Positive,High,
Tits,Hell,m,600,480,Swear,Positive,High,Swear,Negative,Low,
Pee,Cock,m,400,682,Swear,Positive,Low,Swear,Negative,High,
Screw,Wise,f,400,534,Swear,Positive,Low,Neutral,Positive,Low,
Riot,Control,f,800,549,Neutral,Negative,High,N/A,N/A,N/A,
Damn,Tits,m,800,432,Swear,Negative,Low,Swear,Positive,High,
Heaven,Control,f,600,467,Neutral,Positive,High,N/A,N/A,N/A,
Bitch,Jism,f,1200,400,Swear,Negative,High,Swear,Positive,Low,
Erotic,Control,f,400,384,Neutral,Positive,High,N/A,N/A,N/A,
Control,Penis,na,1600,600,N/A,N/A,N/A,Swear,Positive,High,
Unhappy,Intercourse,m,600,635,Neutral,Negative,Low,Neutral,Positive,High,
Control,Balls,na,800,600,N/A,N/A,N/A,Swear,Positive,Low,
Morbid,Wise,f,600,547,Neutral,Negative,Low,Neutral,Positive,Low,
Grateful,Control,m,1000,633,Neutral,Positive,Low,N/A,N/A,N/A,
Tits,Fuck,m,800,480,Swear,Positive,High,Swear,Negative,High,
Hell,Unhappy,f,1200,506,Swear,Negative,Low,Neutral,Negative,Low,
Erotic,Jism,m,1400,562,Neutral,Positive,High,Swear,Positive,Low,
Massacre,Grateful,f,800,604,Neutral,Negative,High,Neutral,Positive,Low,
Morbid,Snatch,m,1000,550,Neutral,Negative,Low,Swear,Positive,Low,
Intercourse,Hopeful,m,1600,751,Neutral,Positive,High,Neutral,Positive,Low,
Gun,Snatch,f,1600,420,Neutral,Negative,High,Swear,Positive,Low,
Screw,Control,m,1400,686,Swear,Positive,Low,N/A,N/A,N/A,
Gun,Screw,f,1000,420,Neutral,Negative,High,Swear,Positive,Low,
Control,Admired,na,1600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Control,Hurricane,na,400,600,N/A,N/A,N/A,Neutral,N/A,N/A,
Erotic,Failure,f,600,384,Neutral,Positive,High,Neutral,Negative,Low,
Tits,Admired,m,1400,480,Swear,Positive,High,Neutral,Positive,Low,
Heaven,Wise,m,1400,480,Neutral,Positive,High,Neutral,Positive,Low,
Control,Sad,na,1400,600,N/A,N/A,N/A,Neutral,Negative,Low,
Sad,Murderer,m,600,485,Neutral,Negative,Low,Neutral,Negative,High,
Murderer,Unhappy,m,1600,649,Neutral,Negative,High,Neutral,Negative,Low,
Sad,Jism,f,600,548,Neutral,Negative,Low,Swear,Positive,Low,
Bitch,Riot,f,1600,400,Swear,Negative,High,Neutral,Negative,High,
Pee,Unhappy,m,1400,682,Swear,Positive,Low,Neutral,Negative,Low,
Wise,Riot,m,1000,654,Neutral,Positive,Low,Neutral,Negative,High,
Paradise,Bitch,m,1000,661,Neutral,Positive,High,Swear,Negative,High,
Hell,Slut,m,1400,419,Swear,Negative,Low,Swear,Negative,High,
Control,Massacre,na,1200,600,N/A,N/A,N/A,Neutral,Negative,High,
Morbid,Cock,m,1600,550,Neutral,Negative,Low,Swear,Negative,High,
Penis,Pee,f,600,572,Swear,Positive,High,Swear,Positive,Low,
Cock,Control,f,600,400,Swear,Negative,High,N/A,N/A,N/A,
Idiot,Riot,m,1400,451,Swear,Negative,Low,Neutral,Negative,High,
Control,Buttfuck,na,1200,600,N/A,N/A,N/A,Swear,Negative,High,
Dickhead,Control,m,400,562,Swear,N/A,N/A,N/A,N/A,N/A,
Cock,Wise,m,1600,434,Swear,Negative,High,Neutral,Positive,Low,
Boner,Control,m,1000,470,Swear,Positive,High,N/A,N/A,N/A,
Twat,Assault,m,600,400,Swear,N/A,N/A,Neutral,N/A,N/A,
Loved,Cum,m,800,528,Neutral,Positive,High,Swear,Positive,High,
Sad,Screw,m,400,485,Neutral,Negative,Low,Swear,Positive,Low,
Murderer,Moron,f,1600,554,Neutral,Negative,High,Swear,Negative,Low,
Loved,Lonely,m,1600,528,Neutral,Positive,High,Neutral,Negative,Low,
Failure,Snatch,f,1400,545,Neutral,Negative,Low,Swear,Positive,Low,
Control,Cock,na,1400,600,N/A,N/A,N/A,Swear,Negative,High,
Morbid,Control,m,400,550,Neutral,Negative,Low,N/A,N/A,N/A,
Sad,Loved,f,1200,548,Neutral,Negative,Low,Neutral,Positive,High,
Control,Balls,na,800,600,N/A,N/A,N/A,Swear,Positive,Low,
Idiot,Grateful,f,1600,477,Swear,Negative,Low,Neutral,Positive,Low,
Control,Massacre,na,400,600,N/A,N/A,N/A,Neutral,Negative,High,
Boner,Moron,m,800,470,Swear,Positive,High,Swear,Negative,Low,
Unhappy,Friendly,f,1400,515,Neutral,Negative,Low,Neutral,Positive,Low,
Screw,Riot,f,1200,534,Swear,Positive,Low,Neutral,Negative,High,
Admired,Torture,f,800,723,Neutral,Positive,Low,Neutral,Negative,High,
Murderer,Penis,f,800,554,Neutral,Negative,High,Swear,Positive,High,
Failure,Boobs,m,1400,620,Neutral,Negative,Low,Swear,Positive,High,
Erotic,Balls,f,1600,384,Neutral,Positive,High,Swear,Positive,Low,
Control,Torture,na,1600,600,N/A,N/A,N/A,Neutral,Negative,High,
Erotic,Morbid,f,800,384,Neutral,Positive,High,Neutral,Negative,Low,
Control,Intercourse,na,1400,600,N/A,N/A,N/A,Neutral,Positive,High,
Cum,Fuck,f,1400,423,Swear,Positive,High,Swear,Negative,High,
Grateful,Boner,m,800,633,Neutral,Positive,Low,Swear,Positive,High,
Control,Cum,na,1600,600,N/A,N/A,N/A,Swear,Positive,High,
Gun,Loved,f,1400,420,Neutral,Negative,High,Neutral,Positive,High,
Murderer,Hopeful,m,1200,649,Neutral,Negative,High,Neutral,Positive,Low,
Cum,Balls,m,1400,532,Swear,Positive,High,Swear,Positive,Low,
Control,Balls,na,1200,600,N/A,N/A,N/A,Swear,Positive,Low,
Boner,Erotic,f,1200,429,Swear,Positive,High,Neutral,Positive,High,
Sad,Control,m,800,485,Neutral,Negative,Low,N/A,N/A,N/A,
Massacre,Cum,f,1600,604,Neutral,Negative,High,Swear,Positive,High,
Fuck,Idiot,f,1600,442,Swear,Negative,High,Swear,Negative,Low,
Damn,Boobs,m,400,432,Swear,Negative,Low,Swear,Positive,High,
Admired,Buttfuck,m,1000,718,Neutral,Positive,Low,Swear,Negative,High,
Control,Screw,na,1600,600,N/A,N/A,N/A,Swear,Positive,Low,
Tits,Heaven,f,600,536,Swear,Positive,High,Neutral,Positive,High,
Fuck,Torture,m,1000,388,Swear,Negative,High,Neutral,Negative,High,
Massacre,Control,f,1400,604,Neutral,Negative,High,N/A,N/A,N/A,
Massacre,Paradise,f,1000,604,Neutral,Negative,High,Neutral,Positive,High,
Friendly,Boner,f,1000,700,Neutral,Positive,Low,Swear,Positive,High,
Jism,Boobs,m,800,500,Swear,Positive,Low,Swear,Positive,High,
Bitch,Failure,m,1200,490,Swear,Negative,High,Neutral,Negative,Low,
Shit,Alcoholic,f,1400,456,Swear,N/A,N/A,Neutral,N/A,N/A,
Tits,Balls,f,1600,536,Swear,Positive,High,Swear,Positive,Low,
Paradise,Riot,f,600,770,Neutral,Positive,High,Neutral,Negative,High,
Fuck,Damn,m,1600,388,Swear,Negative,High,Swear,Negative,Low,
Crap,Paradise,m,600,461,Swear,Negative,Low,Neutral,Positive,High,
Buttfuck,Tits,f,800,601,Swear,Negative,High,Swear,Positive,High,
Unhappy,Hopeful,f,800,515,Neutral,Negative,Low,Neutral,Positive,Low,
Unhappy,Fuck,f,600,515,Neutral,Negative,Low,Swear,Negative,High,
Tits,Control,m,1200,480,Swear,Positive,High,N/A,N/A,N/A,
Moron,Slut,m,400,600,Swear,Negative,Low,Swear,Negative,High,
Gun,Hopeful,m,400,420,Neutral,Negative,High,Neutral,Positive,Low,
Sad,Crap,f,1000,548,Neutral,Negative,Low,Swear,Negative,Low,
Heaven,Damn,f,400,467,Neutral,Positive,High,Swear,Negative,Low,
Control,Whore,na,800,600,N/A,N/A,N/A,Swear,N/A,N/A,
Snatch,Riot,f,400,571,Swear,Positive,Low,Neutral,Negative,High,
Fuck,Erotic,m,800,388,Swear,Negative,High,Neutral,Positive,High,
Jism,Unhappy,m,1000,500,Swear,Positive,Low,Neutral,Negative,Low,
Control,Tits,na,1200,600,N/A,N/A,N/A,Swear,Positive,High,
Slut,Control,f,1200,474,Swear,Negative,High,N/A,N/A,N/A,
Massacre,Control,m,1000,700,Neutral,Negative,High,N/A,N/A,N/A,
Torture,Moron,m,1200,400,Neutral,Negative,High,Swear,Negative,Low,
Wise,Gun,m,1400,654,Neutral,Positive,Low,Neutral,Negative,High,
Unhappy,Erotic,f,1400,515,Neutral,Negative,Low,Neutral,Positive,High,
Hell,Control,f,800,506,Swear,Negative,Low,N/A,N/A,N/A,
Assault,Control,m,1200,611,Neutral,N/A,N/A,N/A,N/A,N/A,
Bitch,Jism,m,1400,490,Swear,Negative,High,Swear,Positive,Low,
Failure,Hell,m,1200,620,Neutral,Negative,Low,Swear,Negative,Low,
Bitch,Paradise,f,1600,400,Swear,Negative,High,Neutral,Positive,High,
Hurricane,Twat,f,800,666,Neutral,N/A,N/A,Swear,N/A,N/A,
Cock,Control,f,400,400,Swear,Negative,High,N/A,N/A,N/A,
Hopeful,Pee,f,600,524,Neutral,Positive,Low,Swear,Positive,Low,
Gun,Failure,f,800,420,Neutral,Negative,High,Neutral,Negative,Low,
Crap,Slut,f,800,360,Swear,Negative,Low,Swear,Negative,High,
Loved,Bitch,m,400,528,Neutral,Positive,High,Swear,Negative,High,
Fat,Control,m,1600,444,Neutral,N/A,N/A,N/A,N/A,N/A,
Admired,Murderer,f,600,723,Neutral,Positive,Low,Neutral,Negative,High,
Balls,Grateful,f,1200,400,Swear,Positive,Low,Neutral,Positive,Low,
Slut,Gun,m,1600,500,Swear,Negative,High,Neutral,Negative,High,
Slut,Damn,m,800,500,Swear,Negative,High,Swear,Negative,Low,
Boner,Morbid,m,1400,470,Swear,Positive,High,Neutral,Negative,Low,
Cock,Idiot,m,1400,434,Swear,Negative,High,Swear,Negative,Low,
Control,Boner,na,1200,600,N/A,N/A,N/A,Swear,Positive,High,
Balls,Control,f,1400,400,Swear,Positive,Low,N/A,N/A,N/A,
Control,Crap,na,400,600,N/A,N/A,N/A,Swear,Negative,Low,
Heaven,Control,f,1600,467,Neutral,Positive,High,N/A,N/A,N/A,
Control,Lonely,na,800,600,N/A,N/A,N/A,Neutral,Negative,Low,
Cum,Sad,m,1000,532,Swear,Positive,High,Neutral,Negative,Low,
Bitch,Intercourse,f,400,400,Swear,Negative,High,Neutral,Positive,High,
Morbid,Riot,m,1400,550,Neutral,Negative,Low,Neutral,Negative,High,
Bitch,Moron,f,800,400,Swear,Negative,High,Swear,Negative,Low,
Unhappy,Friendly,f,1200,515,Neutral,Negative,Low,Neutral,Positive,Low,
Cock,Heaven,f,800,400,Swear,Negative,High,Neutral,Positive,High,
Control,Friendly,na,600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Hopeful,Control,m,800,718,Neutral,Positive,Low,N/A,N/A,N/A,
Erotic,Control,f,1000,384,Neutral,Positive,High,N/A,N/A,N/A,
Sad,Cock,f,1200,548,Neutral,Negative,Low,Swear,Negative,High,
Balls,Idiot,m,400,538,Swear,Positive,Low,Swear,Negative,Low,
Penis,Hopeful,f,1400,572,Swear,Positive,High,Neutral,Positive,Low,
Heaven,Cock,m,600,480,Neutral,Positive,High,Swear,Negative,High,
Control,Crap,na,1200,600,N/A,N/A,N/A,Swear,Negative,Low,
Friendly,Loved,f,800,700,Neutral,Positive,Low,Neutral,Positive,High,
Friendly,Buttfuck,f,1200,700,Neutral,Positive,Low,Swear,Negative,High,
Cock,Wise,m,1200,434,Swear,Negative,High,Neutral,Positive,Low,
Boobs,Screw,f,800,561,Swear,Positive,High,Swear,Positive,Low,
Jism,Grateful,m,1400,500,Swear,Positive,Low,Neutral,Positive,Low,
Control,Damn,na,600,600,N/A,N/A,N/A,Swear,Negative,Low,
Boobs,Gun,f,400,561,Swear,Positive,High,Neutral,Negative,High,
Wanker,Control,m,800,545,Swear,N/A,N/A,N/A,N/A,N/A,
Balls,Sad,f,600,400,Swear,Positive,Low,Neutral,Negative,Low,
Snatch,Control,f,800,571,Swear,Positive,Low,N/A,N/A,N/A,
Control,Idiot,na,800,600,N/A,N/A,N/A,Swear,Negative,Low,
Snatch,Paradise,m,1400,538,Swear,Positive,Low,Neutral,Positive,High,
Torture,Paradise,f,800,548,Neutral,Negative,High,Neutral,Positive,High,
Control,Crap,na,1200,600,N/A,N/A,N/A,Swear,Negative,Low,
Admired,Buttfuck,f,1600,723,Neutral,Positive,Low,Swear,Negative,High,
Cum,Pee,m,800,532,Swear,Positive,High,Swear,Positive,Low,
Balls,Buttfuck,f,600,400,Swear,Positive,Low,Swear,Negative,High,
Loved,Hell,f,1000,486,Neutral,Positive,High,Swear,Negative,Low,
Penis,Wise,m,1600,553,Swear,Positive,High,Neutral,Positive,Low,
Whore,Control,f,600,522,Swear,N/A,N/A,N/A,N/A,N/A,
Gun,Intercourse,f,1200,420,Neutral,Negative,High,Neutral,Positive,High,
Control,Crash,na,800,600,N/A,N/A,N/A,Neutral,N/A,N/A,
Pee,Idiot,m,1000,682,Swear,Positive,Low,Swear,Negative,Low,
Hell,Murderer,f,1200,506,Swear,Negative,Low,Neutral,Negative,High,
Crap,Lonely,m,1400,461,Swear,Negative,Low,Neutral,Negative,Low,
Lonely,Cum,m,800,489,Neutral,Negative,Low,Swear,Positive,High,
Torture,Failure,f,1600,548,Neutral,Negative,High,Neutral,Negative,Low,
Loved,Control,f,1200,486,Neutral,Positive,High,N/A,N/A,N/A,
Control,Friendly,na,800,600,N/A,N/A,N/A,Neutral,Positive,Low,
Loved,Idiot,m,1600,528,Neutral,Positive,High,Swear,Negative,Low,
Penis,Friendly,m,600,553,Swear,Positive,High,Neutral,Positive,Low,
Boobs,Hell,f,1400,561,Swear,Positive,High,Swear,Negative,Low,
Control,Friendly,na,1000,600,N/A,N/A,N/A,Neutral,Positive,Low,
Slut,Screw,m,1200,500,Swear,Negative,High,Swear,Positive,Low,
Moron,Control,m,400,600,Swear,Negative,Low,N/A,N/A,N/A,
Grateful,Control,m,400,633,Neutral,Positive,Low,N/A,N/A,N/A,
Intercourse,Slut,f,1000,645,Neutral,Positive,High,Swear,Negative,High,
Control,Snatch,na,400,600,N/A,N/A,N/A,Swear,Positive,Low,
Alcoholic,Control,m,400,700,Neutral,N/A,N/A,N/A,N/A,N/A,
Boobs,Massacre,m,1400,574,Swear,Positive,High,Neutral,Negative,High,
Assault,Dickhead,f,400,521,Neutral,N/A,N/A,Swear,N/A,N/A,
Fuck,Lonely,f,600,442,Swear,Negative,High,Neutral,Negative,Low,
Bitch,Idiot,m,1000,490,Swear,Negative,High,Swear,Negative,Low,
Unhappy,Grateful,m,1600,635,Neutral,Negative,Low,Neutral,Positive,Low,
Bitch,Moron,f,600,400,Swear,Negative,High,Swear,Negative,Low,
Riot,Admired,m,800,586,Neutral,Negative,High,Neutral,Positive,Low,
Murderer,Morbid,m,600,649,Neutral,Negative,High,Neutral,Negative,Low,
Damn,Control,f,1400,484,Swear,Negative,Low,N/A,N/A,N/A,
Control,Grateful,na,600,600,N/A,N/A,N/A,Neutral,Positive,Low,
Slut,Snatch,m,600,500,Swear,Negative,High,Swear,Positive,Low,
Torture,Hell,m,600,400,Neutral,Negative,High,Swear,Negative,Low,
Cock,Hell,f,1000,400,Swear,Negative,High,Swear,Negative,Low,
Control,Torture,na,1400,600,N/A,N/A,N/A,Neutral,Negative,High,
Control,Erotic,na,1600,600,N/A,N/A,N/A,Neutral,Positive,High,
Control,Admired,na,400,600,N/A,N/A,N/A,Neutral,Positive,Low,
Friendly,Moron,f,1200,700,Neutral,Positive,Low,Swear,Negative,Low,
Crap,Control,f,600,360,Swear,Negative,Low,N/A,N/A,N/A,
Control,Erotic,na,1000,600,N/A,N/A,N/A,Neutral,Positive,High,
Idiot,Heaven,m,1000,451,Swear,Negative,Low,Neutral,Positive,High,
Lonely,Crap,f,600,500,Neutral,Negative,Low,Swear,Negative,Low,
Control,Gun,na,1400,600,N/A,N/A,N/A,Neutral,Negative,High,
Hopeful,Hell,m,1600,718,Neutral,Positive,Low,Swear,Negative,Low,
Massacre,Boner,f,1200,604,Neutral,Negative,High,Swear,Positive,High,
Control,Tits,na,400,600,N/A,N/A,N/A,Swear,Positive,High,
Riot,Admired,f,1000,549,Neutral,Negative,High,Neutral,Positive,Low,
Buttfuck,Gun,f,400,601,Swear,Negative,High,Neutral,Negative,High,
Moron,Pee,m,1400,600,Swear,Negative,Low,Swear,Positive,Low,
Buttfuck,Friendly,f,1600,601,Swear,Negative,High,Neutral,Positive,Low,
Control,Screw,na,1400,600,N/A,N/A,N/A,Swear,Positive,Low,
Alcoholic,Motherfucker,f,1400,700,Neutral,N/A,N/A,Swear,N/A,N/A,
Wise,Crap,f,1400,706,Neutral,Positive,Low,Swear,Negative,Low,
Crap,Grateful,f,1000,360,Swear,Negative,Low,Neutral,Positive,Low,
Erotic,Bitch,f,800,384,Neutral,Positive,High,Swear,Negative,High,
Hopeful,Snatch,m,1400,718,Neutral,Positive,Low,Swear,Positive,Low,
Boner,Control,m,800,470,Swear,Positive,High,N/A,N/A,N/A,
Heaven,Admired,f,1600,467,Neutral,Positive,High,Neutral,Positive,Low,
Pee,Control,f,1200,367,Swear,Positive,Low,N/A,N/A,N/A,
Slut,Hell,f,1200,474,Swear,Negative,High,Swear,Negative,Low,
Buttfuck,Unhappy,m,800,847,Swear,Negative,High,Neutral,Negative,Low,
Paradise,Idiot,f,800,770,Neutral,Positive,High,Swear,Negative,Low,
Pee,Boner,m,1400,682,Swear,Positive,Low,Swear,Positive,High,
Jism,Riot,f,800,477,Swear,Positive,Low,Neutral,Negative,High,
Slut,Pee,f,800,474,Swear,Negative,High,Swear,Positive,Low,
Slut,Loved,m,600,500,Swear,Negative,High,Neutral,Positive,High,
Jism,Moron,f,400,477,Swear,Positive,Low,Swear,Negative,Low,
Moron,Fuck,f,1000,500,Swear,Negative,Low,Swear,Negative,High,
Lonely,Penis,m,400,489,Neutral,Negative,Low,Swear,Positive,High,
Failure,Admired,m,800,620,Neutral,Negative,Low,Neutral,Positive,Low,
Balls,Control,m,1600,538,Swear,Positive,Low,N/A,N/A,N/A,
Cum,Damn,m,1000,532,Swear,Positive,High,Swear,Negative,Low,
Penis,Buttfuck,m,1400,553,Swear,Positive,High,Swear,Negative,High,
Crap,Massacre,m,1600,461,Swear,Negative,Low,Neutral,Negative,High,
Screw,Control,m,600,686,Swear,Positive,Low,N/A,N/A,N/A,
Grateful,Bitch,m,1600,633,Neutral,Positive,Low,Swear,Negative,High,
Boner,Grateful,f,1600,429,Swear,Positive,High,Neutral,Positive,Low,
Control,Fuck,na,400,600,N/A,N/A,N/A,Swear,Negative,High,
Control,Heaven,na,1400,600,N/A,N/A,N/A,Neutral,Positive,High,
Screw,Bitch,f,1000,534,Swear,Positive,Low,Swear,Negative,High,
Friendly,Sad,m,1000,529,Neutral,Positive,Low,Neutral,Negative,Low,
Damn,Admired,f,1200,484,Swear,Negative,Low,Neutral,Positive,Low,
Screw,Loved,f,1600,534,Swear,Positive,Low,Neutral,Positive,High,
Paradise,Boobs,f,1600,770,Neutral,Positive,High,Swear,Positive,High,
Hell,Lonely,f,400,506,Swear,Negative,Low,Neutral,Negative,Low,
Loved,Cum,m,600,528,Neutral,Positive,High,Swear,Positive,High,
Screw,Penis,f,1200,534,Swear,Positive,Low,Swear,Positive,High,
Paradise,Lonely,f,1400,770,Neutral,Positive,High,Neutral,Negative,Low,
Control,Boner,na,800,600,N/A,N/A,N/A,Swear,Positive,High,
Cum,Bitch,m,1600,532,Swear,Positive,High,Swear,Negative,High,
