audio,visual,voice,delay,audio_time,audio_type,audio_valence,audio_arousal,written_type,written_valence,written_arousal,
Jism,Boner,m,400,500,Swear,Positive,Low,Swear,Positive,High,
Riot,Wise,f,1400,549,Neutral,Negative,High,Neutral,Positive,Low,
Control,Cunt,na,1200,600,N/A,N/A,N/A,Swear,N/A,N/A,
Torture,Control,f,400,548,Neutral,Negative,High,N/A,N/A,N/A,
Erotic,Fuck,f,1400,384,Neutral,Positive,High,Swear,Negative,High,
Paradise,Boner,f,600,770,Neutral,Positive,High,Swear,Positive,High,
Torture,Snatch,f,600,548,Neutral,Negative,High,Swear,Positive,Low,
Boobs,Torture,f,1000,561,Swear,Positive,High,Neutral,Negative,High,
Hell,Control,m,1000,419,Swear,Negative,Low,N/A,N/A,N/A,
Pee,Erotic,f,400,367,Swear,Positive,Low,Neutral,Positive,High,
Unhappy,Loved,m,400,635,Neutral,Negative,Low,Neutral,Positive,High,
Unhappy,Massacre,m,1600,635,Neutral,Negative,Low,Neutral,Negative,High,
Friendly,Buttfuck,f,1400,700,Neutral,Positive,Low,Swear,Negative,High,
Snatch,Bitch,f,400,571,Swear,Positive,Low,Swear,Negative,High,
Intercourse,Hopeful,f,600,645,Neutral,Positive,High,Neutral,Positive,Low,
Control,Fuck,na,1000,600,N/A,N/A,N/A,Swear,Negative,High,
Jism,Intercourse,f,1200,477,Swear,Positive,Low,Neutral,Positive,High,
Torture,Loved,m,800,400,Neutral,Negative,High,Neutral,Positive,High,
Cum,Idiot,f,1200,423,Swear,Positive,High,Swear,Negative,Low,
Pee,Control,m,1200,682,Swear,Positive,Low,N/A,N/A,N/A,
Cum,Slut,f,600,423,Swear,Positive,High,Swear,Negative,High,
Cock,Sad,f,1600,400,Swear,Negative,High,Neutral,Negative,Low,
Riot,Control,f,1600,549,Neutral,Negative,High,N/A,N/A,N/A,
Moron,Erotic,f,800,500,Swear,Negative,Low,Neutral,Positive,High,
Murderer,Buttfuck,m,800,649,Neutral,Negative,High,Swear,Negative,High,
Control,Tits,na,1000,600,N/A,N/A,N/A,Swear,Positive,High,
Control,Alcoholic,na,400,600,N/A,N/A,N/A,Neutral,N/A,N/A,
Massacre,Heaven,m,600,700,Neutral,Negative,High,Neutral,Positive,High,
Penis,Failure,f,1200,572,Swear,Positive,High,Neutral,Negative,Low,
Dickhead,Sinful,f,1200,542,Swear,N/A,N/A,Neutral,N/A,N/A,
Control,Cocksucker,na,400,600,N/A,N/A,N/A,Swear,N/A,N/A,
Riot,Pee,m,1600,586,Neutral,Negative,High,Swear,Positive,Low,
Control,Shit,na,600,600,N/A,N/A,N/A,Swear,N/A,N/A,
Morbid,Pee,m,1400,550,Neutral,Negative,Low,Swear,Positive,Low,
Friendly,Unhappy,f,600,700,Neutral,Positive,Low,Neutral,Negative,Low,
Morbid,Pee,f,1200,547,Neutral,Negative,Low,Swear,Positive,Low,
Lonely,Massacre,f,1200,500,Neutral,Negative,Low,Neutral,Negative,High,
Bitch,Massacre,f,800,400,Swear,Negative,High,Neutral,Negative,High,
Riot,Boobs,m,1200,586,Neutral,Negative,High,Swear,Positive,High,
Balls,Paradise,f,1400,400,Swear,Positive,Low,Neutral,Positive,High,
Shit,Control,m,600,537,Swear,N/A,N/A,N/A,N/A,N/A,
Motherfucker,Betray,f,800,771,Swear,N/A,N/A,Neutral,N/A,N/A,
Hell,Friendly,m,1000,419,Swear,Negative,Low,Neutral,Positive,Low,
Tits,Intercourse,m,1600,480,Swear,Positive,High,Neutral,Positive,High,
Hell,Tits,f,1600,506,Swear,Negative,Low,Swear,Positive,High,
Slut,Paradise,f,1400,474,Swear,Negative,High,Neutral,Positive,High,
Pee,Boobs,f,600,367,Swear,Positive,Low,Swear,Positive,High,
Idiot,Loved,m,1400,451,Swear,Negative,Low,Neutral,Positive,High,
Penis,Hell,f,400,572,Swear,Positive,High,Swear,Negative,Low,
Tits,Sad,m,400,480,Swear,Positive,High,Neutral,Negative,Low,
Lonely,Heaven,f,1600,500,Neutral,Negative,Low,Neutral,Positive,High,
Murderer,Damn,f,1000,554,Neutral,Negative,High,Swear,Negative,Low,
Control,Gun,na,800,600,N/A,N/A,N/A,Neutral,Negative,High,
Grateful,Heaven,f,1200,559,Neutral,Positive,Low,Neutral,Positive,High,
Buttfuck,Penis,f,1200,601,Swear,Negative,High,Swear,Positive,High,
Penis,Morbid,f,800,572,Swear,Positive,High,Neutral,Negative,Low,
Balls,Boobs,f,800,400,Swear,Positive,Low,Swear,Positive,High,
Lonely,Control,f,600,500,Neutral,Negative,Low,N/A,N/A,N/A,
Massacre,Intercourse,m,1600,700,Neutral,Negative,High,Neutral,Positive,High,
Snatch,Hopeful,f,1000,571,Swear,Positive,Low,Neutral,Positive,Low,
Buttfuck,Control,m,1200,847,Swear,Negative,High,N/A,N/A,N/A,
Friendly,Penis,m,600,529,Neutral,Positive,Low,Swear,Positive,High,
Admired,Control,m,1600,718,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Snatch,na,1000,600,N/A,N/A,N/A,Swear,Positive,Low,
Control,Murderer,na,1000,600,N/A,N/A,N/A,Neutral,Negative,High,
Idiot,Buttfuck,f,400,477,Swear,Negative,Low,Swear,Negative,High,
Whore,Assault,m,1400,420,Swear,N/A,N/A,Neutral,N/A,N/A,
Failure,Buttfuck,m,1000,620,Neutral,Negative,Low,Swear,Negative,High,
Grateful,Intercourse,m,1400,633,Neutral,Positive,Low,Neutral,Positive,High,
Buttfuck,Penis,m,1000,847,Swear,Negative,High,Swear,Positive,High,
Pee,Boner,m,1600,682,Swear,Positive,Low,Swear,Positive,High,
Intercourse,Screw,f,1400,645,Neutral,Positive,High,Swear,Positive,Low,
Admired,Control,f,800,723,Neutral,Positive,Low,N/A,N/A,N/A,
Control,Heaven,na,1600,600,N/A,N/A,N/A,Neutral,Positive,High,
Buttfuck,Boobs,f,1000,601,Swear,Negative,High,Swear,Positive,High,
Riot,Control,m,600,586,Neutral,Negative,High,N/A,N/A,N/A,
Buttfuck,Tits,f,600,601,Swear,Negative,High,Swear,Positive,High,
Slut,Balls,f,1000,474,Swear,Negative,High,Swear,Positive,Low,
Morbid,Boner,f,400,547,Neutral,Negative,Low,Swear,Positive,High,
Wise,Damn,m,600,654,Neutral,Positive,Low,Swear,Negative,Low,
Riot,Balls,m,400,586,Neutral,Negative,High,Swear,Positive,Low,
Admired,Idiot,m,400,718,Neutral,Positive,Low,Swear,Negative,Low,
Murderer,Slut,f,1400,554,Neutral,Negative,High,Swear,Negative,High,
Admired,Control,m,600,718,Neutral,Positive,Low,N/A,N/A,N/A,
Jism,Sad,m,1200,500,Swear,Positive,Low,Neutral,Negative,Low,
Massacre,Cock,f,1200,604,Neutral,Negative,High,Swear,Negative,High,
Pee,Fuck,m,600,682,Swear,Positive,Low,Swear,Negative,High,
Sad,Penis,m,1600,485,Neutral,Negative,Low,Swear,Positive,High,
Hopeful,Bitch,f,800,524,Neutral,Positive,Low,Swear,Negative,High,
Idiot,Friendly,m,400,451,Swear,Negative,Low,Neutral,Positive,Low,
Slut,Boner,m,1600,500,Swear,Negative,High,Swear,Positive,High,
Gun,Cum,f,1400,420,Neutral,Negative,High,Swear,Positive,High,
Cunt,Fat,f,1000,416,Swear,N/A,N/A,Neutral,N/A,N/A,
Lonely,Control,f,800,500,Neutral,Negative,Low,N/A,N/A,N/A,
Hopeful,Fuck,f,1000,524,Neutral,Positive,Low,Swear,Negative,High,
Grateful,Bitch,f,600,559,Neutral,Positive,Low,Swear,Negative,High,
Penis,Control,f,1000,572,Swear,Positive,High,N/A,N/A,N/A,
Bitch,Massacre,f,600,400,Swear,Negative,High,Neutral,Negative,High,
Morbid,Cock,f,1000,547,Neutral,Negative,Low,Swear,Negative,High,
Unhappy,Cock,m,800,635,Neutral,Negative,Low,Swear,Negative,High,
Unhappy,Intercourse,m,1000,635,Neutral,Negative,Low,Neutral,Positive,High,
Failure,Riot,f,600,545,Neutral,Negative,Low,Neutral,Negative,High,
Control,Fuck,na,1200,600,N/A,N/A,N/A,Swear,Negative,High,
Admired,Cum,f,1200,723,Neutral,Positive,Low,Swear,Positive,High,
Wise,Tits,f,1600,706,Neutral,Positive,Low,Swear,Positive,High,
Wise,Hell,f,400,706,Neutral,Positive,Low,Swear,Negative,Low,
Wanker,Control,f,1600,476,Swear,N/A,N/A,N/A,N/A,N/A,
Damn,Massacre,m,1000,432,Swear,Negative,Low,Neutral,Negative,High,
Loved,Control,f,1400,486,Neutral,Positive,High,N/A,N/A,N/A,
Crash,Control,m,600,487,Neutral,N/A,N/A,N/A,N/A,N/A,
Murderer,Control,m,400,649,Neutral,Negative,High,N/A,N/A,N/A,
Crap,Cum,f,400,360,Swear,Negative,Low,Swear,Positive,High,
Snatch,Damn,f,1200,571,Swear,Positive,Low,Swear,Negative,Low,
Penis,Moron,f,1000,572,Swear,Positive,High,Swear,Negative,Low,
Damn,Slut,f,1600,484,Swear,Negative,Low,Swear,Negative,High,
Gun,Damn,m,1000,420,Neutral,Negative,High,Swear,Negative,Low,
Horror,Dickhead,m,1000,465,Neutral,N/A,N/A,Swear,N/A,N/A,
Snatch,Murderer,m,1600,538,Swear,Positive,Low,Neutral,Negative,High,
Fuck,Heaven,f,1000,442,Swear,Negative,High,Neutral,Positive,High,
Control,Morbid,na,400,600,N/A,N/A,N/A,Neutral,Negative,Low,
Failure,Control,f,1200,545,Neutral,Negative,Low,N/A,N/A,N/A,
Snatch,Failure,f,800,571,Swear,Positive,Low,Neutral,Negative,Low,
Grateful,Jism,m,800,633,Neutral,Positive,Low,Swear,Positive,Low,
Grateful,Crap,f,1600,559,Neutral,Positive,Low,Swear,Negative,Low,
Damn,Admired,f,600,484,Swear,Negative,Low,Neutral,Positive,Low,
Idiot,Gun,f,600,477,Swear,Negative,Low,Neutral,Negative,High,
Morbid,Hopeful,m,600,550,Neutral,Negative,Low,Neutral,Positive,Low,
Penis,Slut,m,1200,553,Swear,Positive,High,Swear,Negative,High,
Damn,Boobs,m,1600,432,Swear,Negative,Low,Swear,Positive,High,
Moron,Erotic,f,1200,500,Swear,Negative,Low,Neutral,Positive,High,
Cocksucker,Control,m,1400,767,Swear,N/A,N/A,N/A,N/A,N/A,
Balls,Unhappy,m,400,538,Swear,Positive,Low,Neutral,Negative,Low,
Tits,Gun,m,1000,480,Swear,Positive,High,Neutral,Negative,High,
Morbid,Control,f,1600,547,Neutral,Negative,Low,N/A,N/A,N/A,
Control,Wanker,na,1400,600,N/A,N/A,N/A,Swear,N/A,N/A,
Motherfucker,Betray,f,1600,771,Swear,N/A,N/A,Neutral,N/A,N/A,
Cum,Loved,f,1000,423,Swear,Positive,High,Neutral,Positive,High,
Torture,Loved,f,1600,548,Neutral,Negative,High,Neutral,Positive,High,
Twat,Control,f,1400,492,Swear,N/A,N/A,N/A,N/A,N/A,
Sad,Heaven,m,1400,485,Neutral,Negative,Low,Neutral,Positive,High,
Riot,Jism,f,1200,549,Neutral,Negative,High,Swear,Positive,Low,
Damn,Heaven,f,400,484,Swear,Negative,Low,Neutral,Positive,High,
Fuck,Wise,m,800,388,Swear,Negative,High,Neutral,Positive,Low,
Idiot,Sad,m,800,451,Swear,Negative,Low,Neutral,Negative,Low,
Bitch,Wise,m,1000,490,Swear,Negative,High,Neutral,Positive,Low,
Failure,Slut,m,400,620,Neutral,Negative,Low,Swear,Negative,High,
Boobs,Paradise,f,400,561,Swear,Positive,High,Neutral,Positive,High,
Morbid,Penis,f,800,547,Neutral,Negative,Low,Swear,Positive,High,
Betray,Motherfucker,m,600,668,Neutral,N/A,N/A,Swear,N/A,N/A,
Sad,Control,m,1600,485,Neutral,Negative,Low,N/A,N/A,N/A,
Fuck,Control,m,1400,388,Swear,Negative,High,N/A,N/A,N/A,
Fuck,Screw,f,1600,442,Swear,Negative,High,Swear,Positive,Low,
Crap,Boobs,m,1200,461,Swear,Negative,Low,Swear,Positive,High,
Fat,Wanker,m,400,444,Neutral,N/A,N/A,Swear,N/A,N/A,
Gun,Cock,m,400,420,Neutral,Negative,High,Swear,Negative,High,
Murderer,Wise,f,1200,554,Neutral,Negative,High,Neutral,Positive,Low,
Grateful,Paradise,f,1000,559,Neutral,Positive,Low,Neutral,Positive,High,
Fuck,Torture,m,1200,388,Swear,Negative,High,Neutral,Negative,High,
Moron,Friendly,m,1600,600,Swear,Negative,Low,Neutral,Positive,Low,
Control,Friendly,na,1400,600,N/A,N/A,N/A,Neutral,Positive,Low,
Wise,Hell,m,800,654,Neutral,Positive,Low,Swear,Negative,Low,
Moron,Lonely,m,1000,600,Swear,Negative,Low,Neutral,Negative,Low,
Control,Sad,na,600,600,N/A,N/A,N/A,Neutral,Negative,Low,
Hell,Failure,f,1400,506,Swear,Negative,Low,Neutral,Negative,Low,
Fuck,Morbid,f,1200,442,Swear,Negative,High,Neutral,Negative,Low,
Control,Damn,na,1400,600,N/A,N/A,N/A,Swear,Negative,Low,
Boner,Unhappy,f,600,429,Swear,Positive,High,Neutral,Negative,Low,
Table,Bowl,m,1600,530,Training,,,,,,
Jar,Table,m,1600,465,Training,,,,,,
Jar,Bowl,f,400,569,Training,,,,,,
Sink,Table,m,400,610,Training,,,,,,
Refrigerator,Kettle,m,400,840,Training,,,,,,
Refrigerator,Microwave,f,1600,813,Training,,,,,,
Freezer,Sink,f,1600,500,Training,,,,,,
Chair,Jar,f,1600,427,Training,,,,,,
Cupboard,Chair,f,1600,444,Training,,,,,,
Kettle,Sink,f,400,594,Training,,,,,,
Kettle,Sink,m,400,566,Training,,,,,,
Refrigerator,Kettle,f,400,813,Training,,,,,,
Microwave,Freezer,f,400,820,Training,,,,,,
Refrigerator,Microwave,m,1600,840,Training,,,,,,
Chair,Jar,m,400,438,Training,,,,,,
Kettle,Cupboard,m,1600,566,Training,,,,,,
Bowl,Freezer,f,1600,411,Training,,,,,,
Freezer,Chair,f,400,500,Training,,,,,,
Cupboard,Chair,m,1600,382,Training,,,,,,
Sink,Refrigerator,f,1600,600,Training,,,,,,
Freezer,Chair,m,400,527,Training,,,,,,
Chair,Jar,f,400,427,Training,,,,,,
Kettle,Cupboard,f,1600,594,Training,,,,,,
Cupboard,Refrigerator,f,400,444,Training,,,,,,
Bowl,Microwave,f,400,411,Training,,,,,,
Cupboard,Refrigerator,m,400,382,Training,,,,,,
Table,Cupboard,f,400,525,Training,,,,,,
Sink,Table,f,400,600,Training,,,,,,
Microwave,Freezer,m,400,700,Training,,,,,,
Microwave,Kettle,f,1600,820,Training,,,,,,
Jar,Bowl,m,400,465,Training,,,,,,
Microwave,Kettle,m,1600,700,Training,,,,,,
Jar,Table,f,1600,569,Training,,,,,,
Freezer,Sink,m,1600,527,Training,,,,,,
Bowl,Freezer,m,1600,431,Training,,,,,,
Bowl,Microwave,m,400,431,Training,,,,,,
Table,Bowl,f,1600,525,Training,,,,,,
Sink,Refrigerator,m,1600,610,Training,,,,,,
Chair,Jar,m,1600,438,Training,,,,,,
Table,Cupboard,m,400,530,Training,,,,,,
,Penis,,,,,,,,,,
,Cum,,,,,,,,,,
,Boner,,,,,,,,,,
,Tits,,,,,,,,,,
,Boobs,,,,,,,,,,
,Balls,,,,,,,,,,
,Pee,,,,,,,,,,
,Jism,,,,,,,,,,
,Screw,,,,,,,,,,
,Snatch,,,,,,,,,,
,Bitch,,,,,,,,,,
,Cock,,,,,,,,,,
,Slut,,,,,,,,,,
,Buttfuck,,,,,,,,,,
,Fuck,,,,,,,,,,
,Hell,,,,,,,,,,
,Damn,,,,,,,,,,
,Crap,,,,,,,,,,
,Moron,,,,,,,,,,
,Idiot,,,,,,,,,,
,Loved,,,,,,,,,,
,Heaven,,,,,,,,,,
,Paradise,,,,,,,,,,
,Intercourse,,,,,,,,,,
,Erotic,,,,,,,,,,
,Friendly,,,,,,,,,,
,Wise,,,,,,,,,,
,Admired,,,,,,,,,,
,Hopeful,,,,,,,,,,
,Grateful,,,,,,,,,,
,Gun,,,,,,,,,,
,Riot,,,,,,,,,,
,Massacre,,,,,,,,,,
,Torture,,,,,,,,,,
,Murderer,,,,,,,,,,
,Unhappy,,,,,,,,,,
,Lonely,,,,,,,,,,
,Morbid,,,,,,,,,,
,Sad,,,,,,,,,,
,Failure,,,,,,,,,,
,Cunt,,,,,,,,,,
,Cocksucker,,,,,,,,,,
,Whore,,,,,,,,,,
,Twat,,,,,,,,,,
,Shit,,,,,,,,,,
,Wanker,,,,,,,,,,
,Motherfucker,,,,,,,,,,
,Dickhead,,,,,,,,,,
,Alcoholic,,,,,,,,,,
,Assault,,,,,,,,,,
,Fat,,,,,,,,,,
,Crash,,,,,,,,,,
,Sinful,,,,,,,,,,
,Horror,,,,,,,,,,
,Betray,,,,,,,,,,
,Hurricane,,,,,,,,,,
,,,,,,,,,,,
