name,notes,stimuli,procedure,fullscreen,welcome,participant_id,end_message,start_message,buffer,scripts,age_check,skip_quality,zoom_check,mobile,redcap_url,
pre_screen,demographics,ldt_words,pre_screen.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
eyes_nontab,eyes only instructions,ldt_words,eyes_nontab.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
eyes_taboo,eyes only instructions,ldt_words,eyes_taboo.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
img_nontab,image only instructions,ldt_words,img_nontab.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
img_taboo,image only instructions,ldt_words,img_taboo.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
video_nontab,video instructions,ldt_words,video_nontab.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
video_taboo,video instructions,ldt_words,video_taboo.csv,on,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,random,,,5,,no,yes,no,no,https://xo019390.webs.act.reading.ac.uk/redcap/collectorDev.php,
