item_name,text,type,answers,optional,values,side_by_side,btn_width,score:bfi_openness,score:bfi_conscientiousness,score:bfi_extraversion,score:bfi_agreeableness,score:bfi_neuroticism,reversed,
Instructions4,"<h2><span>Big Five Inventory</span></h2><br><br><h6><b>INSTRUCTIONS: </b>Here are a number of characteristics that may or may not apply to you. Please select a response option to indicate the extent to which you agree or disagree with each statement. The questionnaire is divided into 4 pages, once you more to another page you cannot return to the previous page - so please ensure you are happy with your answers before moving forward.<br><br><span>Page 4 of 4</span></h64",instruct,,,,,,,,,,,,
bfi_34,34. I remain calm in tense situations,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,,r1,yes,
bfi_35,35. I prefer work that is routine,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,r1,,,,,yes,
bfi_36,"36. I am outcoming, sociable",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,1,,,no,
bfi_37,37. I am sometimes rude to others,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,r1,,yes,
bfi_38,38. I make plans and follows through with them,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,1,,,,no,
bfi_39,39. I gets nervous easily,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,,1,no,
bfi_40,"40. I like to reflect, play with ideas",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,1,,,,,no,
bfi_41,41. I have few artistic interests,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,r1,,,,,yes,
bfi_42,42. I like to cooperate with others,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,,,1,,no,
bfi_43,43. I am easily distracted,likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,,r1,,,,yes,
bfi_44,"44. I am sophisticated in art, music, and/or literature",likert,Disagree strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,no,1|2|3|4|5,no,216px,1,,,,,no,
,,,,,,,,,,,,,,
