cue,probe,answer,long,short,practice,
M,X,l,Block 4,Short 4,,
E,X,l,Block 4,Short 4,,
T,X,l,Block 4,Short 4,,
G,X,l,Block 4,Short 4,,
H,X,l,Block 4,Short 4,,
J,X,l,Block 4,Short 4,,
W,X,l,Block 4,Short 4,,
Q,X,l,Block 4,Short 4,,
C,X,l,Block 4,Short 4,,
V,X,l,Block 4,Short 4,,
J,X,l,Block 4,Short 4,,
H,X,l,Block 4,Short 4,,
S,X,l,Block 4,Short 4,,
L,X,l,Block 4,Short 4,,
P,X,l,Block 4,Short 4,,
U,X,l,Block 4,Short 4,,
M,X,l,Block 4,Short 4,,
N,X,l,Block 4,,,
M,X,l,Block 4,,,
A,X,p,Block 4,,,
A,X,p,Block 4,,,
A,J,l,Block 4,,,
,,,,,,
